LOCATION,DAY,ORDER_NUMBER,TYPE
Ryley,11,17,takeout
Mannville,14,46,takeout
Mannville,30,211,in store
Magrath,12,124,takeout
Vermilion,30,63,drive through
Bruderheim,27,131,drive through
Chestermere,18,158,takeout
Eckville,13,60,in store
Mundare,8,217,in store
Delburne,21,129,drive through
Falher,27,30,in store
Mundare,28,150,drive through
Bashaw,6,6,takeout
Valleyview,26,131,drive through
Chestermere,18,87,takeout
Lamont,26,18,drive through
Mannville,28,21,drive through
Olds,9,91,in store
Mundare,27,21,drive through
Valleyview,12,87,in store
Bashaw,24,194,takeout
Magrath,17,52,drive through
Mannville,12,105,takeout
Lomond,18,20,in store
Mundare,23,146,takeout
Magrath,30,110,in store
Vermilion,3,93,in store
Athabasca,26,112,takeout
Olds,29,85,in store
Chestermere,27,24,in store
Bashaw,6,44,drive through
Mundare,30,224,in store
Mannville,24,142,takeout
Mannville,17,114,takeout
Eckville,9,10,takeout
Lomond,4,65,takeout
Valleyview,21,59,drive through
Cardston,2,46,in store
Mundare,6,88,in store
Bruderheim,25,6,drive through
Bashaw,26,69,takeout
Girouxville,11,108,drive through
Mannville,22,173,drive through
Valleyview,20,114,in store
Athabasca,18,178,drive through
Olds,7,2,takeout
Bruderheim,1,28,in store
Mundare,5,50,takeout
Ryley,10,68,in store
Ryley,25,85,takeout
Valleyview,18,44,takeout
Magrath,13,6,in store
Lomond,8,76,drive through
Magrath,28,44,drive through
Ryley,1,139,in store
Mundare,12,83,in store
Chestermere,21,23,takeout
Mannville,21,25,takeout
Myrnam,4,93,in store
Lomond,11,177,in store
Girouxville,9,205,drive through
Ryley,21,27,takeout
Olds,12,13,takeout
Olds,28,55,takeout
Cardston,5,24,drive through
Chestermere,3,24,takeout
Vermilion,27,105,takeout
Lacombe,1,148,in store
Mannville,5,63,takeout
Girouxville,4,75,takeout
Mannville,26,71,drive through
Bashaw,4,171,takeout
Lamont,2,66,drive through
Girouxville,25,81,in store
Valleyview,9,146,takeout
Vermilion,18,103,in store
Bashaw,1,15,in store
Mannville,22,9,drive through
Mannville,18,168,takeout
Ryley,10,35,in store
Chestermere,28,48,takeout
Mannville,1,112,drive through
Myrnam,12,34,in store
Bashaw,25,113,takeout
Athabasca,3,106,in store
Bruderheim,11,148,in store
Athabasca,6,19,drive through
Bruderheim,24,141,drive through
Mannville,8,113,takeout
Lamont,26,88,in store
Mannville,23,61,takeout
Cardston,18,69,takeout
Athabasca,16,24,in store
Ryley,30,65,in store
Lacombe,11,79,drive through
Delburne,26,40,drive through
Cardston,22,87,drive through
Lacombe,12,7,drive through
Bruderheim,14,55,in store
Lamont,11,50,drive through
Delburne,9,33,takeout
Eckville,24,41,in store
Ryley,11,97,takeout
Bashaw,21,130,takeout
Mannville,21,70,in store
Athabasca,17,75,takeout
Mundare,4,47,in store
Cardston,20,114,drive through
Girouxville,25,190,drive through
Vermilion,11,144,in store
Olds,24,7,in store
Valleyview,15,25,takeout
Mundare,12,180,in store
Bruderheim,21,14,takeout
Olds,8,153,in store
Mannville,7,55,takeout
Chestermere,1,49,drive through
Olds,14,7,drive through
Cardston,22,21,in store
Chestermere,17,130,drive through
Eckville,16,63,takeout
Bashaw,6,133,takeout
Girouxville,9,240,drive through
Myrnam,13,29,takeout
Athabasca,14,126,in store
Mannville,22,204,takeout
Eckville,8,89,in store
Girouxville,4,184,drive through
Falher,30,65,drive through
Bashaw,5,127,takeout
Vermilion,13,6,takeout
Magrath,18,117,drive through
Olds,8,56,takeout
Athabasca,6,86,takeout
Girouxville,11,140,drive through
Mundare,25,175,takeout
Ryley,21,44,in store
Magrath,25,40,drive through
Delburne,7,10,takeout
Ryley,23,68,takeout
Mundare,26,69,takeout
Olds,20,41,in store
Myrnam,2,20,drive through
Lamont,3,5,in store
Bashaw,12,76,takeout
Vermilion,2,26,drive through
Girouxville,23,43,takeout
Valleyview,22,37,takeout
Chestermere,18,92,takeout
Lamont,6,146,takeout
Delburne,27,33,takeout
Lacombe,4,3,drive through
Mundare,10,34,in store
Myrnam,5,40,in store
Mannville,1,132,takeout
Lacombe,17,94,in store
Eckville,17,62,drive through
Delburne,22,25,takeout
Mundare,4,27,in store
Cardston,23,18,in store
Cardston,6,89,in store
Valleyview,2,68,in store
Chestermere,30,24,takeout
Girouxville,29,117,drive through
Mundare,9,171,takeout
Mundare,30,24,in store
Girouxville,5,139,in store
Eckville,10,6,in store
Bashaw,18,115,drive through
