LOCATION,DAY,ORDER_NUMBER,FLAVOR,SCOOPS
Myrnam,8,44,chocolate,2
Valleyview,24,54,chocolate,2
Mannville,27,131,strawberry,2
Valleyview,29,163,vanilla,2
Bashaw,19,221,banana,1
Valleyview,8,161,strawberry,1
Valleyview,2,187,banana,2
Lomond,27,35,chocolate,2
Eckville,28,37,chocolate,1
Lacombe,19,49,vanilla,1
Mannville,22,119,vanilla,2
Myrnam,29,45,chocolate,2
Bashaw,7,53,vanilla,2
Olds,18,150,vanilla,2
Lomond,29,44,vanilla,2
Magrath,23,75,chocolate,2
Mundare,30,222,vanilla,2
Bruderheim,30,54,strawberry,3
Mundare,18,38,chocolate,3
Vermilion,23,39,chocolate,1
Girouxville,26,230,chocolate,1
Cardston,1,37,chocolate,3
Ryley,1,58,vanilla,1
Valleyview,25,138,vanilla,2
Vermilion,30,106,chocolate,2
Olds,1,77,vanilla,3
Athabasca,22,161,strawberry,3
Delburne,14,18,chocolate,1
Eckville,15,153,strawberry,2
Ryley,27,95,strawberry,2
Mannville,3,229,vanilla,2
Ryley,6,32,strawberry,1
Lamont,5,38,chocolate,1
Lamont,20,34,vanilla,1
Ryley,21,38,chocolate,1
Eckville,27,31,banana,2
Bruderheim,24,130,chocolate,3
Eckville,9,36,strawberry,2
Bashaw,6,186,vanilla,3
Lomond,22,142,chocolate,1
Bashaw,21,168,vanilla,3
Lomond,9,129,vanilla,2
Bashaw,10,131,vanilla,2
Cardston,16,11,vanilla,3
Mundare,26,124,vanilla,3
Mundare,17,84,strawberry,1
Valleyview,9,49,chocolate,1
Athabasca,10,55,strawberry,1
Mannville,29,103,vanilla,1
Lomond,7,44,strawberry,2
Chestermere,19,148,vanilla,1
Athabasca,7,9,strawberry,1
Cardston,30,65,chocolate,2
Myrnam,17,142,strawberry,2
Athabasca,17,59,strawberry,2
Bruderheim,8,21,banana,1
Chestermere,30,148,vanilla,2
Athabasca,30,96,vanilla,3
Bashaw,5,134,chocolate,2
Mundare,24,159,chocolate,2
Vermilion,16,3,banana,2
Lomond,21,173,strawberry,3
Olds,7,31,strawberry,1
Mannville,3,208,vanilla,3
Valleyview,27,72,vanilla,2
Mannville,29,179,chocolate,2
Girouxville,20,54,banana,1
Eckville,5,18,strawberry,1
Mannville,17,150,chocolate,1
Mundare,12,155,chocolate,2
Olds,28,23,vanilla,3
Lamont,12,116,vanilla,2
Cardston,10,67,strawberry,2
Mannville,6,194,chocolate,2
Bashaw,9,76,chocolate,2
Cardston,8,118,strawberry,2
Delburne,1,57,chocolate,1
Bruderheim,10,85,vanilla,2
Mundare,11,234,vanilla,1
Bruderheim,3,16,chocolate,3
Bashaw,13,148,strawberry,3
Olds,15,51,chocolate,2
Delburne,17,48,chocolate,1
Olds,3,79,banana,2
Eckville,25,14,vanilla,1
Vermilion,16,3,chocolate,3
Delburne,18,103,vanilla,2
Bruderheim,21,83,strawberry,1
Delburne,15,101,vanilla,3
Olds,9,105,strawberry,3
Mannville,27,85,vanilla,1
Cardston,12,112,chocolate,2
Delburne,22,61,strawberry,2
Olds,2,62,chocolate,2
Bruderheim,16,6,strawberry,1
Mannville,22,131,vanilla,2
Bruderheim,3,36,chocolate,2
Eckville,14,65,strawberry,2
Lomond,21,108,strawberry,2
Falher,2,2,strawberry,1
Olds,20,126,vanilla,2
Lomond,27,22,chocolate,2
Girouxville,20,55,banana,2
Cardston,27,77,strawberry,3
Mundare,17,100,vanilla,2
