Gains,Losses
634,172
452,336
293,934
382,7
265,801
586,336
716,814
265,916
10,680
91,30
920,18
80,983
566,317
813,123
845,922
606,963
994,566
825,443
510,772
750,399
483,264
294,626
866,42
925,171
937,24
78,125
125,10
562,126
315,473
996,388
750,408
437,90
745,551
691,155
566,695
580,280
322,857
882,424
319,751
878,286
705,233
892,767
97,69
531,413
932,373
579,766
66,759
819,346
289,759
328,721
634,453
709,993
498,859
267,238
118,677
831,6
489,938
808,728
364,485
726,777
688,363
759,918
378,333
487,915
479,333
699,483
529,286
365,380
818,79
966,39
919,814
419,444
78,847
556,96
763,496
893,627
622,592
215,367
458,899
807,568
482,551
53,981
848,107
202,586
781,122
120,731
198,786
591,313
244,31
734,508
564,68
408,387
170,651
962,429
500,590
698,505
788,624
185,949
77,668
838,64
771,697
823,645
257,973
792,876
7,565
835,541
775,45
458,449
419,197
804,452
220,623
422,285
759,828
889,709
155,129
937,285
800,460
253,831
652,541
896,997
293,839
715,737
605,579
490,367
385,318
737,855
273,350
231,330
923,980
70,463
192,572
287,658
230,592
102,108
728,72
221,79
488,430
392,474
833,499
399,135
801,391
35,773
506,92
879,518
470,373
68,971
444,928
720,156
268,727
796,91
204,950
161,930
387,837
864,287
950,388
946,649
933,416
243,88
548,286
991,554
38,894
523,129
248,834
631,153
719,108
19,768
870,83
929,519
32,577
658,825
507,846
939,666
906,891
901,146
198,319
322,225
538,749
727,942
408,916
442,952
518,822
673,81
807,185
619,635
967,150
1,464
178,410
618,532
63,128
112,998
729,276
235,237
429,262
846,390
539,997
948,771
531,809
725,34
106,609
933,167
